title;maintainer-name;maintainer-id;url;revisions;last_download;download;last_computation;compute_stats;last analysis;analysis;type;notes
Hoste,_Moselle;;;;;;;;;;;random;
International_Federation_of_Associations_of_Anatomists;;;https://en.wikipedia.org/wiki/International_Federation_of_Associations_of_Anatomists;;;;;;;;random;
Fisheries_subsidy;;;https://en.wikipedia.org/wiki/Fisheries_subsidy;;;;;;;;selected,peer;by Andreas Trawoeger
KBFR;;;https://en.wikipedia.org/wiki/KBFR;;;;;;;;random;
Nicolaas_Pierson;;;https://en.wikipedia.org/wiki/Nicolaas_Pierson;;;;;;;;random;
Edward_Long;;;https://en.wikipedia.org/wiki/Edward_Long;;;;;;;;random;
Pink_Floyd;;;;;;;;;;;selected,peer;by Karl Voit
Feminism;;;;;;;;;;;selected,controversial;
George_W._Bush;;;;;;;;;;;selected,many revisions;
Immanuel_Kant;;;;;;;;;;;selected,finished discourse;
War_in_Donbass;;;;;;;;;;;selected,ongoing discourse;
Islamic_State_of_Iraq_and_the_Levant;;;;;;;;;;;selected,ongoing discourse;
2012_phenomenon;;;;;;;;;;;selected,controversial;
Same-sex_marriage;;;;;;;;;;;selected,controversial;
Homeopathy;;;;;;;;;;;selected,controversial;
Prostitution;;;;;;;;;;;selected,controversial;
Global_warming;;;;;;;;;;;selected,controversial;
Net_Neutrality;;;;;;;;;;;selected,controversial;
Star_Trek;;;;;;;;;;;selected,controversial;
Silvio_Berlusconi;;;;;;;;;;;selected,controversial;
Capitalism;;;;;;;;;;;selected,controversial;
U2;;;;;;;;;;;selected,peer;by Karl Voit
Chester_Ronning;;;;;;;;;;;random;
Edward_Snowden;;;;;;;;;;;peer;by Vera
